No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
94,How to get line count of a large file cheaply in Python?,"<p>I need to get a line count of a large file (hundreds of thousands of lines) in python. What is the most efficient way both memory- and time-wise?</p>

<p>At the moment I do:</p>

<pre><code>def file_len(fname):
    with open(fname) as f:
        for i, l in enumerate(f):
            pass
    return i + 1
</code></pre>

<p>is it possible to do any better?</p>
",(Python) Counting lines in a huge (>10GB) file as fast as possible,,"How to get line count of a large file cheaply in Python? <p>I need to get a line count of a large file (hundreds of thousands of lines) in python. What is the most efficient way both memory- and time-wise?</p>

<p>At the moment I do:</p>

<pre><code>def file_len(fname):
    with open(fname) as f:
        for i, l in enumerate(f):
            pass
    return i + 1
</code></pre>

<p>is it possible to do any better?</p>
",421,0,0,0,,,0,1,1
95,Remove all whitespace in a string,"<p>I want to eliminate all the whitespace from a string, on both ends, and in between words.</p>
<p>I have this Python code:</p>
<pre><code>def my_handle(self):
    sentence = ' hello  apple  '
    sentence.strip()
</code></pre>
<p>But that only eliminates the whitespace on both sides of the string. How do I remove all whitespace?</p>
",Why doesn't .strip() remove whitespaces?,,"Remove all whitespace in a string <p>I want to eliminate all the whitespace from a string, on both ends, and in between words.</p>
<p>I have this Python code:</p>
<pre><code>def my_handle(self):
    sentence = ' hello  apple  '
    sentence.strip()
</code></pre>
<p>But that only eliminates the whitespace on both sides of the string. How do I remove all whitespace?</p>
",371,1,1,1,,,0,1,1
96,How do I remove packages installed with Python's easy_install?,"<p>Python's <code>easy_install</code> makes installing new packages extremely convenient. However, as far as I can tell, it doesn't implement the other common features of a dependency manager - listing and removing installed packages.</p>

<p>What is the best way of finding out what's installed, and what is the preferred way of removing installed packages? Are there any files that need to be updated if I remove packages manually (e.g. by <code>rm /usr/local/lib/python2.6/dist-packages/my_installed_pkg.egg</code> or similar)?</p>
",How to remove python packages,,"How do I remove packages installed with Python's easy_install? <p>Python's <code>easy_install</code> makes installing new packages extremely convenient. However, as far as I can tell, it doesn't implement the other common features of a dependency manager - listing and removing installed packages.</p>

<p>What is the best way of finding out what's installed, and what is the preferred way of removing installed packages? Are there any files that need to be updated if I remove packages manually (e.g. by <code>rm /usr/local/lib/python2.6/dist-packages/my_installed_pkg.egg</code> or similar)?</p>
",598,1,1,1,,,1,1,1
97,How to do relative imports in Python?,"<p>Imagine this directory structure:</p>

<pre><code>app/
   __init__.py
   sub1/
      __init__.py
      mod1.py
   sub2/
      __init__.py
      mod2.py
</code></pre>

<p>I'm coding <code>mod1</code>, and I need to import something from <code>mod2</code>. How should I do it?  </p>

<p>I tried <code>from ..sub2 import mod2</code> but I'm getting an ""Attempted relative import in non-package"".</p>

<p>I googled around but found only ""<code>sys.path</code> manipulation"" hacks. Isn't there a clean way?  </p>

<hr>

<p>Edit: all my <code>__init__.py</code>'s are currently empty  </p>

<p>Edit2: I'm trying to do this because sub2 contains classes that are shared across sub packages (<code>sub1</code>, <code>subX</code>, etc.).</p>

<p>Edit3: The behaviour I'm looking for is the same as described in <a href=""http://www.python.org/dev/peps/pep-0366/"" rel=""noreferrer"">PEP 366</a> (thanks John B)</p>
",How to import .py file from another directory?,,"How to do relative imports in Python? <p>Imagine this directory structure:</p>

<pre><code>app/
   __init__.py
   sub1/
      __init__.py
      mod1.py
   sub2/
      __init__.py
      mod2.py
</code></pre>

<p>I'm coding <code>mod1</code>, and I need to import something from <code>mod2</code>. How should I do it?  </p>

<p>I tried <code>from ..sub2 import mod2</code> but I'm getting an ""Attempted relative import in non-package"".</p>

<p>I googled around but found only ""<code>sys.path</code> manipulation"" hacks. Isn't there a clean way?  </p>

<hr>

<p>Edit: all my <code>__init__.py</code>'s are currently empty  </p>

<p>Edit2: I'm trying to do this because sub2 contains classes that are shared across sub packages (<code>sub1</code>, <code>subX</code>, etc.).</p>

<p>Edit3: The behaviour I'm looking for is the same as described in <a href=""http://www.python.org/dev/peps/pep-0366/"" rel=""noreferrer"">PEP 366</a> (thanks John B)</p>
",943,0,0,0,,,0,0,0
98,"How to install psycopg2 with ""pip"" on Python?","<p>I'm using <em><code>virtualenv</code></em> and I need to install ""psycopg2"".</p>

<p>I have done the following:</p>

<pre><code>pip install http://pypi.python.org/packages/source/p/psycopg2/psycopg2-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
</code></pre>

<p>And I have the following messages:</p>

<pre><code>Downloading/unpacking http://pypi.python.org/packages/source/p/psycopg2/psycopg2
-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
  Downloading psycopg2-2.4.tar.gz (607Kb): 607Kb downloaded
  Running setup.py egg_info for package from http://pypi.python.org/packages/sou
rce/p/psycopg2/psycopg2-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
    Error: pg_config executable not found.

    Please add the directory containing pg_config to the PATH
    or specify the full executable path with the option:

        python setup.py build_ext --pg-config /path/to/pg_config build ...

    or with the pg_config option in 'setup.cfg'.
    Complete output from command python setup.py egg_info:
    running egg_info

creating pip-egg-info\psycopg2.egg-info

writing pip-egg-info\psycopg2.egg-info\PKG-INFO

writing top-level names to pip-egg-info\psycopg2.egg-info\top_level.txt

writing dependency_links to pip-egg-info\psycopg2.egg-info\dependency_links.txt

writing manifest file 'pip-egg-info\psycopg2.egg-info\SOURCES.txt'

warning: manifest_maker: standard file '-c' not found

Error: pg_config executable not found.



Please add the directory containing pg_config to the PATH

or specify the full executable path with the option:



    python setup.py build_ext --pg-config /path/to/pg_config build ...



or with the pg_config option in 'setup.cfg'.

----------------------------------------
Command python setup.py egg_info failed with error code 1
Storing complete log in C:\Documents and Settings\anlopes\Application Data\pip\p
ip.log
</code></pre>

<p>My question, I only need to do this to get the psycopg2 working?</p>

<pre><code>python setup.py build_ext --pg-config /path/to/pg_config build ...
</code></pre>
",Cannot access pg_config on virtualenv python,,"How to install psycopg2 with ""pip"" on Python? <p>I'm using <em><code>virtualenv</code></em> and I need to install ""psycopg2"".</p>

<p>I have done the following:</p>

<pre><code>pip install http://pypi.python.org/packages/source/p/psycopg2/psycopg2-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
</code></pre>

<p>And I have the following messages:</p>

<pre><code>Downloading/unpacking http://pypi.python.org/packages/source/p/psycopg2/psycopg2
-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
  Downloading psycopg2-2.4.tar.gz (607Kb): 607Kb downloaded
  Running setup.py egg_info for package from http://pypi.python.org/packages/sou
rce/p/psycopg2/psycopg2-2.4.tar.gz#md5=24f4368e2cfdc1a2b03282ddda814160
    Error: pg_config executable not found.

    Please add the directory containing pg_config to the PATH
    or specify the full executable path with the option:

        python setup.py build_ext --pg-config /path/to/pg_config build ...

    or with the pg_config option in 'setup.cfg'.
    Complete output from command python setup.py egg_info:
    running egg_info

creating pip-egg-info\psycopg2.egg-info

writing pip-egg-info\psycopg2.egg-info\PKG-INFO

writing top-level names to pip-egg-info\psycopg2.egg-info\top_level.txt

writing dependency_links to pip-egg-info\psycopg2.egg-info\dependency_links.txt

writing manifest file 'pip-egg-info\psycopg2.egg-info\SOURCES.txt'

warning: manifest_maker: standard file '-c' not found

Error: pg_config executable not found.



Please add the directory containing pg_config to the PATH

or specify the full executable path with the option:



    python setup.py build_ext --pg-config /path/to/pg_config build ...



or with the pg_config option in 'setup.cfg'.

----------------------------------------
Command python setup.py egg_info failed with error code 1
Storing complete log in C:\Documents and Settings\anlopes\Application Data\pip\p
ip.log
</code></pre>

<p>My question, I only need to do this to get the psycopg2 working?</p>

<pre><code>python setup.py build_ext --pg-config /path/to/pg_config build ...
</code></pre>
",2089,1,1,1,,,1,1,1
99,How to state in requirements.txt a direct github source,"<p>I've installed a library using the command</p>
<pre><code>pip install git+git://github.com/mozilla/elasticutils.git
</code></pre>
<p>which installs it directly from a Github repository.  This works fine and I want to have that dependency in my <code>requirements.txt</code>.  I've looked at other tickets like <a href=""https://stackoverflow.com/questions/9024607/how-to-link-to-forked-package-in-distutils-without-breaking-pip-freeze"">this</a> but that didn't solve my problem.  If I put something like</p>
<pre><code>-f git+git://github.com/mozilla/elasticutils.git
elasticutils==0.7.dev
</code></pre>
<p>in the <code>requirements.txt</code> file, a <code>pip install -r requirements.txt</code> results in the following output:</p>
<pre><code>Downloading/unpacking elasticutils==0.7.dev (from -r requirements.txt (line 20))
  Could not find a version that satisfies the requirement elasticutils==0.7.dev (from -r requirements.txt (line 20)) (from versions: )
No distributions matching the version for elasticutils==0.7.dev (from -r requirements.txt (line 20))
</code></pre>
<p>The <a href=""https://pip.pypa.io/en/stable/reference/pip_install/#requirements-file-format"" rel=""noreferrer"">documentation of the requirements file</a> does not mention links using the <code>git+git</code> protocol specifier, so maybe this is just not supported.</p>
<p>Does anybody have a solution for my problem?</p>
",How to reference spcific Gitlab remote branch and commit from Python with Pip and requirements.txt,,"How to state in requirements.txt a direct github source <p>I've installed a library using the command</p>
<pre><code>pip install git+git://github.com/mozilla/elasticutils.git
</code></pre>
<p>which installs it directly from a Github repository.  This works fine and I want to have that dependency in my <code>requirements.txt</code>.  I've looked at other tickets like <a href=""https://stackoverflow.com/questions/9024607/how-to-link-to-forked-package-in-distutils-without-breaking-pip-freeze"">this</a> but that didn't solve my problem.  If I put something like</p>
<pre><code>-f git+git://github.com/mozilla/elasticutils.git
elasticutils==0.7.dev
</code></pre>
<p>in the <code>requirements.txt</code> file, a <code>pip install -r requirements.txt</code> results in the following output:</p>
<pre><code>Downloading/unpacking elasticutils==0.7.dev (from -r requirements.txt (line 20))
  Could not find a version that satisfies the requirement elasticutils==0.7.dev (from -r requirements.txt (line 20)) (from versions: )
No distributions matching the version for elasticutils==0.7.dev (from -r requirements.txt (line 20))
</code></pre>
<p>The <a href=""https://pip.pypa.io/en/stable/reference/pip_install/#requirements-file-format"" rel=""noreferrer"">documentation of the requirements file</a> does not mention links using the <code>git+git</code> protocol specifier, so maybe this is just not supported.</p>
<p>Does anybody have a solution for my problem?</p>
",1456,0,0,0,,,1,1,1
100,Find and Replace Inside a Text File from a Bash Command,"<p>What's the simplest way to do a find and replace for a given input string, say <code>abc</code>, and replace with another string, say <code>XYZ</code> in file <code>/tmp/file.txt</code>?</p>

<p>I am writting an app and using IronPython to execute commands through SSH &mdash; but I don't know Unix that well and don't know what to look for.</p>

<p>I have heard that Bash, apart from being a command line interface, can be a very powerful scripting language. So, if this is true, I assume you can perform actions like these.</p>

<p>Can I do it with bash, and what's the simplest (one line) script to achieve my goal?</p>
",find and replace text in multiple files ,,"Find and Replace Inside a Text File from a Bash Command <p>What's the simplest way to do a find and replace for a given input string, say <code>abc</code>, and replace with another string, say <code>XYZ</code> in file <code>/tmp/file.txt</code>?</p>

<p>I am writting an app and using IronPython to execute commands through SSH &mdash; but I don't know Unix that well and don't know what to look for.</p>

<p>I have heard that Bash, apart from being a command line interface, can be a very powerful scripting language. So, if this is true, I assume you can perform actions like these.</p>

<p>Can I do it with bash, and what's the simplest (one line) script to achieve my goal?</p>
",682,1,1,1,,,0,1,1
,,,,,,,47,73,74,,,38,70,74
,,,,,Mean of length of cell,,,,,,,,,
,,,,,for correct question found,,508,517.6,528.7,,,540,503,536.02
,,,,,for not found,,560,535,556.6,,,533.5,612.9,535.8
